Account.Balance,Duration.of.Credit.Month,Payment.Status.of.Previous.Credit,Purpose,Credit.Amount,Value.Savings.Stocks,Length.of.current.employment,Instalment.per.cent,Most.valuable.available.asset,Age.years,Type.of.apartment,No.of.Credits.at.this.Bank,Creidt__Creditworthy,Creidt__Non-Creditworthy,Data
No Account,9,No Problems (in this bank),Home Related,2799,None,< 1yr,2,1,36,1,More than 1,0.914,0.086,TRUE
No Account,12,No Problems (in this bank),Home Related,2122,None,< 1yr,3,1,39,1,More than 1,0.756,0.244,TRUE
No Account,24,Paid Up,Home Related,3758,ý100-ý1000,< 1yr,1,4,23,1,1,0.64,0.36,TRUE
No Account,11,No Problems (in this bank),Home Related,3905,None,< 1yr,2,1,36,1,More than 1,0.882,0.118,TRUE
No Account,6,No Problems (in this bank),Home Related,1957,None,1-4 yrs,1,3,31,2,1,0.806,0.194,TRUE
No Account,6,Paid Up,Home Related,2647,ý100-ý1000,< 1yr,2,1,44,1,1,0.868,0.132,TRUE
No Account,36,No Problems (in this bank),Home Related,2337,None,4-7 yrs,4,1,36,2,1,0.642,0.358,TRUE
Some Balance,11,No Problems (in this bank),Home Related,7228,None,< 1yr,1,2,39,2,More than 1,0.814,0.186,TRUE
No Account,36,Paid Up,Home Related,2384,None,< 1yr,4,4,33,1,1,0.274,0.726,FALSE
No Account,11,No Problems (in this bank),Home Related,4771,None,1-4 yrs,2,2,51,2,1,0.672,0.328,TRUE
Some Balance,15,Paid Up,Home Related,3556,ý100-ý1000,< 1yr,3,4,29,2,1,0.868,0.132,TRUE
Some Balance,42,No Problems (in this bank),New car,4796,None,4-7 yrs,4,4,56,3,1,0.824,0.176,TRUE
Some Balance,36,No Problems (in this bank),Home Related,6614,None,4-7 yrs,4,3,34,2,More than 1,0.748,0.252,TRUE
No Account,15,Paid Up,Home Related,1721,None,< 1yr,2,1,36,2,1,0.562,0.438,TRUE
No Account,6,No Problems (in this bank),Home Related,860,None,4-7 yrs,1,4,39,2,More than 1,0.716,0.284,TRUE
Some Balance,12,No Problems (in this bank),Home Related,1495,None,4-7 yrs,4,1,38,2,More than 1,0.908,0.092,TRUE
Some Balance,12,No Problems (in this bank),Home Related,1934,None,4-7 yrs,2,4,26,2,More than 1,0.852,0.148,TRUE
Some Balance,18,Paid Up,New car,3378,ý100-ý1000,< 1yr,2,2,31,2,1,0.896,0.104,TRUE
No Account,24,Paid Up,Home Related,1755,None,4-7 yrs,4,1,58,2,1,0.79,0.21,TRUE
No Account,18,Paid Up,Home Related,1239,ý100-ý1000,< 1yr,4,4,61,3,1,0.432,0.568,FALSE
Some Balance,24,Paid Up,Home Related,1474,< ï¿½1,< 1yr,4,1,33,2,1,0.822,0.178,TRUE
Some Balance,12,Paid Up,Home Related,640,None,< 1yr,4,1,49,2,1,0.746,0.254,TRUE
Some Balance,36,Paid Up,Home Related,3919,None,< 1yr,2,1,23,2,1,0.81,0.19,TRUE
Some Balance,12,No Problems (in this bank),Home Related,2331,ý100-ý1000,4-7 yrs,1,1,49,2,1,0.818,0.182,TRUE
Some Balance,24,Paid Up,New car,6313,ý100-ý1000,4-7 yrs,3,3,41,2,1,0.894,0.106,TRUE
Some Balance,12,No Problems (in this bank),Home Related,1655,None,4-7 yrs,2,1,63,2,More than 1,0.858,0.142,TRUE
No Account,15,Paid Up,Home Related,1053,None,< 1yr,4,1,27,2,1,0.658,0.342,TRUE
Some Balance,12,No Problems (in this bank),Home Related,1163,ý100-ý1000,< 1yr,4,1,44,2,1,0.794,0.206,TRUE
Some Balance,36,No Problems (in this bank),Home Related,10875,None,4-7 yrs,2,3,45,2,More than 1,0.71,0.29,TRUE
No Account,12,No Problems (in this bank),Home Related,1344,None,< 1yr,4,1,43,2,More than 1,0.77,0.23,TRUE
Some Balance,6,No Problems (in this bank),Home Related,1237,< ï¿½1,< 1yr,1,2,27,2,More than 1,0.79,0.21,TRUE
Some Balance,12,Paid Up,Home Related,3077,None,< 1yr,2,3,52,2,1,0.838,0.162,TRUE
Some Balance,24,Paid Up,Home Related,2284,None,1-4 yrs,4,3,28,2,1,0.924,0.076,TRUE
No Account,12,Paid Up,Home Related,1567,None,< 1yr,1,3,22,2,1,0.476,0.524,FALSE
Some Balance,24,No Problems (in this bank),Home Related,2032,None,4-7 yrs,4,4,60,3,More than 1,0.916,0.084,TRUE
No Account,21,No Problems (in this bank),Home Related,1602,None,4-7 yrs,4,3,30,2,More than 1,0.582,0.418,TRUE
Some Balance,15,Paid Up,Home Related,1979,ý100-ý1000,4-7 yrs,4,3,35,2,1,0.922,0.078,TRUE
Some Balance,36,No Problems (in this bank),Home Related,3342,ý100-ý1000,4-7 yrs,4,3,51,2,1,0.936,0.064,TRUE
No Account,18,Paid Up,Home Related,5866,< ï¿½1,< 1yr,2,3,30,2,More than 1,0.596,0.404,TRUE
Some Balance,15,No Problems (in this bank),New car,2360,ý100-ý1000,< 1yr,2,3,36,2,1,0.956,0.044,TRUE
No Account,12,Paid Up,Home Related,3651,ý100-ý1000,< 1yr,1,2,31,2,1,0.778,0.222,TRUE
No Account,18,No Problems (in this bank),Used car,6361,None,4-7 yrs,2,4,41,2,1,0.426,0.574,FALSE
Some Balance,27,No Problems (in this bank),Used car,4526,ý100-ý1000,< 1yr,4,1,32,2,More than 1,0.91,0.09,TRUE
No Account,9,Paid Up,Used car,2136,None,< 1yr,3,1,25,2,1,0.834,0.166,TRUE
Some Balance,24,No Problems (in this bank),Used car,3777,ý100-ý1000,< 1yr,4,1,40,2,1,0.904,0.096,TRUE
No Account,15,Paid Up,Home Related,806,None,< 1yr,4,2,22,2,1,0.482,0.518,FALSE
No Account,24,No Problems (in this bank),Home Related,4712,ý100-ý1000,< 1yr,4,2,34,2,More than 1,0.5,0.5,FALSE
Some Balance,12,No Problems (in this bank),Home Related,1412,None,< 1yr,4,1,29,2,More than 1,0.874,0.126,TRUE
Some Balance,24,Paid Up,Home Related,1533,None,< 1yr,4,3,38,2,1,0.898,0.102,TRUE
No Account,15,Paid Up,Home Related,3959,None,< 1yr,3,2,29,2,1,0.52,0.48,TRUE
No Account,6,Paid Up,Used car,428,None,4-7 yrs,2,2,49,2,1,0.89,0.11,TRUE
No Account,12,No Problems (in this bank),Home Related,2366,ý100-ý1000,1-4 yrs,3,3,36,2,1,0.878,0.122,TRUE
No Account,18,Paid Up,Home Related,6260,None,1-4 yrs,3,1,28,1,1,0.6,0.4,TRUE
Some Balance,24,Paid Up,New car,2603,ý100-ý1000,< 1yr,2,3,28,1,1,0.9,0.1,TRUE
Some Balance,24,Paid Up,Used car,3062,ý100-ý1000,4-7 yrs,4,4,32,1,1,0.956,0.044,TRUE
No Account,36,Paid Up,Home Related,4795,None,< 1yr,4,4,30,2,1,0.138,0.862,FALSE
Some Balance,36,No Problems (in this bank),New car,5842,None,4-7 yrs,2,2,35,2,More than 1,0.908,0.092,TRUE
Some Balance,15,Paid Up,Home Related,1213,ý100-ý1000,4-7 yrs,4,2,47,2,1,0.804,0.196,TRUE
