Sum_Invoice_number,Store,WEEK,Week_Start,Week_End
1118872887,store_012,1,2013-02-13,2013-02-19
1057341967,store_012,2,2013-02-20,2013-02-26
972069557,store_012,3,2013-02-27,2013-03-05
954016748,store_012,4,2013-03-06,2013-03-12
1005063083,store_012,5,2013-03-13,2013-03-19
1124544230,store_012,6,2013-03-20,2013-03-26
900002232,store_012,7,2013-03-27,2013-04-02
1066782975,store_012,8,2013-04-03,2013-04-09
908854039,store_012,9,2013-04-10,2013-04-16
1030304526,store_012,10,2013-04-17,2013-04-23
705618103,store_012,11,2013-04-24,2013-04-30
1111430888,store_012,12,2013-05-01,2013-05-07
831395047,store_012,13,2013-05-08,2013-05-14
858745302,store_012,14,2013-05-15,2013-05-21
1151208493,store_012,15,2013-05-22,2013-05-28
1084252152,store_012,16,2013-05-29,2013-06-04
1137757583,store_012,17,2013-06-05,2013-06-11
1265459696,store_012,18,2013-06-12,2013-06-18
953706061,store_012,19,2013-06-19,2013-06-25
958213121,store_012,20,2013-06-26,2013-07-02
1333467436,store_012,21,2013-07-03,2013-07-09
1340356790,store_012,22,2013-07-10,2013-07-16
1321965978,store_012,23,2013-07-17,2013-07-23
1177800735,store_012,24,2013-07-24,2013-07-30
931830991,store_012,25,2013-07-31,2013-08-06
1063039074,store_012,26,2013-08-07,2013-08-13
1043213121,store_012,27,2013-08-14,2013-08-20
1021791660,store_012,28,2013-08-21,2013-08-27
1129717444,store_012,29,2013-08-28,2013-09-03
1264002697,store_012,30,2013-09-04,2013-09-10
1088118817,store_012,31,2013-09-11,2013-09-17
1353093727,store_012,32,2013-09-18,2013-09-24
1254368033,store_012,33,2013-09-25,2013-10-01
1233130044,store_012,34,2013-10-02,2013-10-08
895802581,store_012,35,2013-10-09,2013-10-15
1085339545,store_012,36,2013-10-16,2013-10-22
1036672092,store_012,37,2013-10-23,2013-10-29
1040639861,store_012,38,2013-10-30,2013-11-05
1044821733,store_012,39,2013-11-06,2013-11-12
1183449495,store_012,40,2013-11-13,2013-11-19
756285901,store_012,41,2013-11-20,2013-11-26
1410037585,store_012,42,2013-11-27,2013-12-03
952971644,store_012,43,2013-12-04,2013-12-10
847217867,store_012,44,2013-12-11,2013-12-17
1234248668,store_012,45,2013-12-18,2013-12-24
770946995,store_012,46,2013-12-25,2013-12-31
1160146474,store_012,47,2014-01-01,2014-01-07
1331122582,store_012,48,2014-01-08,2014-01-14
890650223,store_012,49,2014-01-15,2014-01-21
1089205409,store_012,50,2014-01-22,2014-01-28
1036997180,store_012,51,2014-01-29,2014-02-04
983907140,store_012,52,2014-02-05,2014-02-11
1663928616,store_012,53,2014-02-12,2014-02-18
1488838077,store_012,54,2014-02-19,2014-02-25
866642420,store_012,55,2014-02-26,2014-03-04
1425682903,store_012,56,2014-03-05,2014-03-11
1334431605,store_012,57,2014-03-12,2014-03-18
